Unit;ADR06;ADR08;ADR13;ADR15;Ocurrences;Class DeF
org.apache.hadoop.hbase.util.AbstractPositionedByteRange;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ArrayUtils;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Base64$Base64OutputStream;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.BoundedCompletionService;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.BoundedCompletionService$QueueingFuture;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ByteBufferUtils;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ByteRangeUtils;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Bytes$ByteArrayComparator;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Bytes$RowEndKeyComparator;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ClassLoaderBase;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ClassSize;0.0;0.0;1.0;0.0;1.0;0.25
org.apache.hadoop.hbase.util.Classes;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.CollectionUtils;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ConcatenatedLists;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ConcatenatedLists$Iterator;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ConcurrentIndex;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.ConcurrentIndex$DefaultValueSetFactory;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Counter;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Counter$Cell;0.0;0.0;1.0;0.0;1.0;0.25
org.apache.hadoop.hbase.util.Counter$Container;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.Counter$IndexHolder;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.DefaultEnvironmentEdge;0.0;0.0;1.0;1.0;2.0;0.5
org.apache.hadoop.hbase.util.DrainBarrier;0.0;0.0;1.0;1.0;2.0;0.5
